atomic number,Element,K 1s,L1 2s,L2 2p1/2,L3 2p3/2,M1 3s,M2 3p1/2,M3 3p3/2,M4 3d3/2,M5 3d5/2,N1 4s,N2 4p1/2,N3 4p3/2,N4 4d3/2,N5 4d5/2,N6 4f5/2,N7 4f7/2,O1 5s,O2 5p1/2,O3 5p3/2,O4 5d3/2,O5 5d5/2,P1 6s,P2 6p1/2,P3 6p3/2
1,H,13.60,,,,,,,,,,,,,,,,,,,,,,,
2,He,24.60,,,,,,,,,,,,,,,,,,,,,,,
3,Li,54.70,,,,,,,,,,,,,,,,,,,,,,,
4,Be,111.50,,,,,,,,,,,,,,,,,,,,,,,
5,B,188.00,,,,,,,,,,,,,,,,,,,,,,,
6,C,284.20,,,,,,,,,,,,,,,,,,,,,,,
7,N,409.90,37.30,,,,,,,,,,,,,,,,,,,,,,
8,O,543.10,41.60,,,,,,,,,,,,,,,,,,,,,,
9,F,696.70,,,,,,,,,,,,,,,,,,,,,,,
10,Ne,870.20,48.50,21.70,21.60,,,,,,,,,,,,,,,,,,,,
11,Na,1070.80,63.50,30.65,30.81,,,,,,,,,,,,,,,,,,,,
12,Mg,1303.00,88.70,49.78,49.50,,,,,,,,,,,,,,,,,,,,
13,Al,1559.60,117.80,72.95,72.55,,,,,,,,,,,,,,,,,,,,
14,Si,1839.00,149.70,99.82,99.42,,,,,,,,,,,,,,,,,,,,
15,P,2145.50,189.00,136.00,135.00,,,,,,,,,,,,,,,,,,,,
16,S,2472.00,230.90,163.60,162.50,,,,,,,,,,,,,,,,,,,,
17,Cl,2822.40,270.00,202.00,200.00,,,,,,,,,,,,,,,,,,,,
18,Ar,3205.90,326.30,250.60,248.40,29.30,15.90,15.70,,,,,,,,,,,,,,,,,
19,K,3608.40,378.60,297.30,294.60,34.80,18.30,18.30,,,,,,,,,,,,,,,,,
20,Ca,4038.50,438.40,349.70,346.20,44.30,25.40,25.40,,,,,,,,,,,,,,,,,
21,Sc,4492.00,498.00,403.60,398.70,51.10,28.30,28.30,,,,,,,,,,,,,,,,,
22,Ti,4966.00,560.90,460.20,453.80,58.70,32.60,32.60,,,,,,,,,,,,,,,,,
23,V,5465.00,626.70,519.80,512.10,66.30,37.20,37.20,,,,,,,,,,,,,,,,,
24,Cr,5989.00,696.00,583.80,574.10,74.10,42.20,42.20,,,,,,,,,,,,,,,,,
25,Mn,6539.00,769.10,649.90,638.70,82.30,47.20,47.20,,,,,,,,,,,,,,,,,
26,Fe,7112.00,844.60,719.90,706.80,91.30,52.70,52.70,,,,,,,,,,,,,,,,,
27,Co,7709.00,925.10,793.20,778.10,101.00,58.90,59.90,,,,,,,,,,,,,,,,,
28,Ni,8333.00,1008.60,870.00,852.70,110.80,68.00,66.20,,,,,,,,,,,,,,,,,
29,Cu,8979.00,1096.70,952.30,932.70,122.50,77.30,75.10,,,,,,,,,,,,,,,,,
30,Zn,9659.00,1196.20,1044.90,1021.80,139.80,91.40,88.60,10.20,10.10,,,,,,,,,,,,,,,
31,Ga,10367.00,1299.00,1143.20,1116.40,159.50,103.50,100.00,18.70,18.70,,,,,,,,,,,,,,,
32,Ge,11103.00,1414.60,1248.10,1217.00,180.10,124.90,120.80,29.80,29.20,,,,,,,,,,,,,,,
33,As,11867.00,1527.00,1359.10,1323.60,204.70,146.20,141.20,41.70,41.70,,,,,,,,,,,,,,,
34,Se,12658.00,1652.00,1474.30,1433.90,229.60,166.50,160.70,55.50,54.60,,,,,,,,,,,,,,,
35,Br,13474.00,1782.00,1596.00,1550.00,257.00,189.00,182.00,70.00,69.00,,,,,,,,,,,,,,,
36,Kr,14326.00,1921.00,1730.90,1678.40,292.80,222.20,214.40,95.00,93.80,27.50,14.10,14.10,,,,,,,,,,,,
37,Rb,15200.00,2065.00,1864.00,1804.00,326.70,248.70,239.10,113.00,112.00,30.50,16.30,15.30,,,,,,,,,,,,
38,Sr,16105.00,2216.00,2007.00,1940.00,358.70,280.30,270.00,136.00,134.20,38.90,21.30,20.10,,,,,,,,,,,,
39,Y,17038.00,2373.00,2156.00,2080.00,392.00,310.60,298.80,157.70,155.80,43.80,24.40,23.10,,,,,,,,,,,,
40,Zr,17998.00,2532.00,2307.00,2223.00,430.30,343.50,329.80,181.10,178.80,50.60,28.50,27.10,,,,,,,,,,,,
41,Nb,18986.00,2698.00,2465.00,2371.00,466.60,376.10,360.60,205.00,202.30,56.40,32.60,30.80,,,,,,,,,,,,
