Nuclide ; Eu-152 
Element ; Europium
Z ; 63
Daughter(s) ; (B+, EC) ; Sm-152 ; 72.1 ; (B-) ; Gd-152 ; 27.9
Q+ ; 1874.3 ; Q- ; 1818.8
Half-life (a) ; 13.522 ; 0.016
Half-life (s) ; 426.7E6 ; 0.5E6
Decay constant (1/s) ; 1.6244E-9 ; 0.0019E-9
Specific activity (Bq/g) ; 6.436E12 ; 0.008E12
Reference ; USP, LBNL - 2004
Coincidence threshold ; 1%
X and gamma emissions (142 lines) sorted by decreasing intensity
------------------------------------------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end ; Possible coinc./Sum of
40.1186 ;  ; 37.7 ; 0.5 ; XKa1 ; Sm ;  ;  ;  ; 
121.7817 ; 0.0003 ; 28.41 ; 0.13 ; g ; Sm-152 ; 1 ; 0 ; 1408.013 (S=1529.790), 964.079 (S=1085.860), 1112.076 (S=1233.860), 244.6970 (S=366.4800) ; 
344.2785 ; 0.0012 ; 26.59 ; 0.12 ; g ; Gd-152 ; 1 ; 0 ; 778.9050 (S=1123.1800) ; 
1408.013 ; 0.003 ; 20.85 ; 0.08 ; g ; Sm-152 ; 13 ; 1 ; 121.7820 (S=1529.7900) ; 
39.5229 ;  ; 20.8 ; 0.3 ; XKa2 ; Sm ;  ;  ;  ; 
964.079 ; 0.018 ; 14.50 ; 0.06 ; g ; Sm-152 ; 9 ; 1 ; 121.7820 (S=1085.8600) ; 
1112.076 ; 0.003 ; 13.41 ; 0.06 ; g ; Sm-152 ; 10 ; 1 ; 121.7820 (S=1233.8600) ; 
6.395 ;  ; 13.0 ; 0.4 ; XL ; Sm ;  ;  ;  ; 
778.9045 ; 0.0024 ; 12.97 ; 0.06 ; g ; Gd-152 ; 7 ; 1 ; 344.2790 (S=1123.1800) ; 
45.4777 ;  ; 11.78 ; 0.19 ; XK'b1 ; Sm ;  ;  ;  ; 
1085.837 ; 0.010 ; 10.13 ; 0.06 ; g ; Sm-152 ; 9 ; 0 ; (9->1)+(1->0) ; 
244.6974 ; 0.0008 ; 7.55 ; 0.04 ; g ; Sm-152 ; 2 ; 1 ; 121.7820 (S=366.4800) ; 
867.380 ; 0.003 ; 4.243 ; 0.023 ; g ; Sm-152 ; 10 ; 2 ;  ; 
