Nucléide ; Ce-143 
Élément ; Cérium
Z ; 58
Fils ; (B-) ; Pr-143 ; 100
Q- ; 1461,4
Période (h) ; 33,040 ; 0,007
Période (s) ; 118,944E3 ; 0,025E3
Constante radioactive (1/s) ; 5,8275E-6 ; 0,0012E-6
Activité spécifique (Bq/g) ; 24,541E15 ; 0,005E15
Référence ; CEA/LNE-LNHB, NDS 94 - 2001
Émissions (58 raies) triées par nucléide et par énergie croissante
----------------------------------------------------- Ce-143 -----------------------------------------------------
Énergie (keV) ; Éner. inc. (keV) ; Intensité (%) ; Int. inc. (%) ; Type ; Origine ; Niv. déb. ; Niv. fin ; Père
5,63 ;  ; 9,6 ; 1,5 ; XL ; Pr ;  ;  ; Ce-143
35,5506 ;  ; 17,7 ; 0,8 ; XKa2 ; Pr ;  ;  ; Ce-143
36,0267 ;  ; 32,3 ; 1,4 ; XKa1 ; Pr ;  ;  ; Ce-143
40,8173 ;  ; 9,89 ; 0,44 ; XK'b1 ; Pr ;  ;  ; Ce-143
41,873 ;  ; 2,54 ; 0,11 ; XK'b2 ; Pr ;  ;  ; Ce-143
57,356 ; 0,007 ; 11,7 ; 0,4 ; g ; Pr-143 ; -1 ; 0 ; Ce-143
122,4 ; 0,1 ; 0,009 ; 0,003 ; g ; Pr-143 ; -1 ; 1 ; Ce-143
139,742 ; 0,017 ; 0,077 ; 0,005 ; g ; Pr-143 ; -1 ; 2 ; Ce-143
197,6 ; 0,2 ; 0,0026 ; 0,0013 ; g ; Pr-143 ; -1 ; 3 ; Ce-143
231,550 ; 0,002 ; 2,05 ; 0,05 ; g ; Pr-143 ; -1 ; 4 ; Ce-143
272,9 ; 0,2 ; 0,0043 ; 0,0043 ; g ; Pr-143 ; -1 ; 5 ; Ce-143
293,266 ; 0,002 ; 42,8 ; 0,5 ; g ; Pr-143 ; -1 ; 6 ; Ce-143
338,3 ; 0,2 ; 0,0009 ; 0,0005 ; g ; Pr-143 ; -1 ; 7 ; Ce-143
350,619 ; 0,003 ; 3,23 ; 0,04 ; g ; Pr-143 ; -1 ; 8 ; Ce-143
