Nuclide ; Fr-220 
Element ; Francium
Z ; 87
Daughter(s) ; (B-) ; Ra-220 ; 0.35 ; (alpha) ; At-216 ; 99.65
Q- ; 1210 ; Qalpha ; 6800.7
Possible parent(s) ; (alpha) ; Ac-224 ; 9.1
Half-life (s) ; 27.4 ; 0.3
Decay constant (1/s) ; 25.30E-3 ; 0.28E-3
Specific activity (Bq/g) ; 69.2E18 ; 0.8E18
Reference ; NDS (part. eval.)
Coincidence threshold ; 0%
Emissions (77 lines) sorted by nuclide and by increasing energy
----------------------------------------------------------------- Fr-220 -----------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end ; Possible coinc./Sum of ; Parent
11.8455 ;  ; 7.1 ; 0.3 ; XL ; Tl ;  ;  ;  ; Bi-212
12.9355 ;  ; 0.0563 ; 0.0024 ; XL ; Po ;  ;  ;  ; Bi-212
39.858 ; 0.004 ; 1.07 ; 0.01 ; g ; Tl-208 ; 1 ; 0 ; 288.18 (S=328.04), 433.5 (S=473.36), 452.98 (S=492.84), 580.5 (S=620.36) ; Bi-212
70.8325 ;  ; 0.0525 ; 0.0023 ; XKa2 ; Tl ;  ;  ;  ; Bi-212
72.8725 ;  ; 0.089 ; 0.004 ; XKa1 ; Tl ;  ;  ;  ; Bi-212
76.864 ;  ; 0.0388 ; 0.0008 ; XKa2 ; Po ;  ;  ;  ; Bi-212
79.293 ;  ; 0.0647 ; 0.0013 ; XKa1 ; Po ;  ;  ;  ; Bi-212
82.6033 ;  ; 0.0301 ; 0.0014 ; XK'b1 ; Tl ;  ;  ;  ; Bi-212
85.1387 ;  ; 0.0089 ; 0.0005 ; XK'b2 ; Tl ;  ;  ;  ; Bi-212
89.8087 ;  ; 0.0223 ; 0.0006 ; XK'b1 ; Po ;  ;  ;  ; Bi-212
92.6213 ;  ; 0.00693 ; 0.00020 ; XK'b2 ; Po ;  ;  ;  ; Bi-212
164.80 ; 0.06 ; 0.0055 ; 0.0006 ; g ; Tl-208 ; 4 ; 2 ; 288.18 (S=452.98), 328.04 (S=492.84) ; Bi-212
